184,|(7765,7900)|,136,-1
185,|(7901,7901)|,1,-1
186,|(7902,8037)|,136,-1
187,|(8038,8038)|,1,-1
188,|(8039,8174)|,136,-1
189,|(8175,8175)|,1,-1
190,|(8176,8310)|,135,-1
191,|(8311,8311)|,1,-1
192,|(8312,8406)|,95,-1
193,|(8407,8408)|,2,-1
194,|(8409,8409)|,1,-1
195,|(8410,8412)|,3,-1
196,|(8413,8417)|,5,-1
197,|(8418,8420)|,3,-1
198,|(8421,8421)|,1,-1
199,|(8422,8423)|,2,-1
200,|(8424,8424)|,1,-1
201,|(8425,8429)|,5,-1
202,|(8430,8434)|,5,-1
203,|(8435,8437)|,3,-1
204,|(8438,8438)|,1,-1
205,|(8439,8440)|,2,-1
206,|(8441,8576)|,136,-1
207,|(8577,8578)|,2,-1
208,|(8579,8579)|,1,-1
209,|(8580,8581)|,2,-1
210,|(8582,8717)|,136,-1
211,|(8718,8719)|,2,-1
212,|(8720,8855)|,136,-1
213,|(8856,8856)|,1,-1
214,|(8857,8857)|,1,-1
215,|(8858,8993)|,136,-1
216,|(8994,8995)|,2,-1
217,|(8996,8996)|,1,-1
218,|(8997,8997)|,1,-1
219,|(8998,8998)|,1,-1
220,|(8999,8999)|,1,-1
221,|(9000,9000)|,1,-1
222,|(9001,9001)|,1,-1
223,|(9002,9137)|,136,-1
224,|(9138,9138)|,1,-1
225,|(9139,9139)|,1,-1
226,|(9140,9275)|,136,-1
227,|(9276,9276)|,1,-1
228,|(9277,9281)|,5,-1
229,|(9282,9285)|,4,-1
230,|(9286,9286)|,1,-1
231,|(9287,9288)|,2,-1
232,|(9289,9299)|,11,-1
233,|(9300,9301)|,2,-1
234,|(9302,9303)|,2,-1
235,|(9304,9305)|,2,-1
236,|(9306,9312)|,7,-1
237,|(9313,9313)|,1,-1
238,|(9314,9315)|,2,-1
239,|(9316,9451)|,136,-1
240,|(9452,9453)|,2,-1
241,|(9454,9455)|,2,-1
242,|(9456,9591)|,136,-1
243,|(9592,9592)|,1,-1
244,|(9593,9593)|,1,-1
245,|(9594,9729)|,136,-1
246,|(9730,9730)|,1,-1
247,|(9731,9731)|,1,-1
248,|(9732,9733)|,2,-1
249,|(9734,9735)|,2,-1
250,|(9736,9736)|,1,-1
251,|(9737,9738)|,2,-1
252,|(9739,9739)|,1,-1
253,|(9740,9740)|,1,-1
254,|(9741,9741)|,1,-1
255,|(9742,9877)|,136,-1
256,|(9878,9879)|,2,-1
257,|(9880,9881)|,2,-1
258,|(9882,9882)|,1,-1
259,|(9883,10018)|,136,-1
260,|(10019,10019)|,1,-1
261,|(10020,10020)|,1,-1
262,|(10021,10021)|,1,-1
263,|(10022,10157)|,136,-1
264,|(10158,10158)|,1,-1
265,|(10159,10294)|,136,-1
266,|(10295,10295)|,1,-1
267,|(10296,10296)|,1,-1
268,|(10297,10432)|,136,-1
269,|(10433,10433)|,1,-1
270,|(10434,10434)|,1,-1
271,|(10435,10570)|,136,-1
272,|(10571,10571)|,1,-1
273,|(10572,10574)|,3,-1
274,|(10575,10707)|,133,-1
275,|(10708,10708)|,1,-1
276,|(10709,10709)|,1,-1
277,|(10710,10845)|,136,-1
278,|(10846,10846)|,1,-1
279,|(10847,10982)|,136,-1
280,|(10983,10983)|,1,-1
281,|(10984,11008)|,25,-1
282,|(11009,11070)|,62,-1
283,|(11071,11072)|,2,-1
284,|(11073,11073)|,1,-1
285,|(11074,11209)|,136,-1
286,|(11210,11210)|,1,-1
287,|(11211,11211)|,1,-1
288,|(11212,11347)|,136,-1
289,|(11348,11348)|,1,-1
290,|(11349,11355)|,7,-1
291,|(11356,11356)|,1,-1
292,|(11357,11360)|,4,-1
