71,|(2921,3088)|,168,78
72,|(3089,3089)|,1,1
73,|(3090,3256)|,167,167
74,|(3257,3257)|,1,1
75,|(3258,3258)|,1,1
76,|(3259,3259)|,1,1
77,|(3260,3260)|,1,1
78,|(3261,3428)|,168,71
79,|(3429,3432)|,4,4
80,|(3433,3433)|,1,1
81,|(3434,3599)|,166,166
82,|(3600,3639)|,40,40
83,|(3640,3640)|,1,1
84,|(3641,3641)|,1,1
85,|(3642,3642)|,1,1
86,|(3643,3795)|,153,153
87,|(3796,3796)|,1,1
88,|(3797,3797)|,1,1
89,|(3798,3798)|,1,1
90,|(3799,3799)|,1,1
91,|(3800,3800)|,1,1
92,|(3801,3968)|,168,168
93,|(3969,3969)|,1,1
94,|(3970,3970)|,1,1
95,|(3971,4138)|,168,121
96,|(4139,4139)|,1,1
97,|(4140,4140)|,1,1
98,|(4141,4141)|,1,1
99,|(4142,4142)|,1,1
100,|(4143,4143)|,1,1
101,|(4144,4144)|,1,1
102,|(4145,4148)|,4,4
103,|(4149,4153)|,5,5
104,|(4154,4154)|,1,1
105,|(4155,4155)|,1,1
106,|(4156,4371)|,216,216
107,|(4372,4372)|,1,1
108,|(4373,4373)|,1,1
109,|(4374,4374)|,1,1
110,|(4375,4375)|,1,1
111,|(4376,4463)|,88,628
112,|(4464,4466)|,3,3
113,|(4467,4467)|,1,1
114,|(4468,4468)|,1,1
115,|(4469,4469)|,1,1
116,|(4470,4470)|,1,1
117,|(4471,4577)|,107,107
118,|(4578,4656)|,79,79
119,|(4657,4657)|,1,1
120,|(4658,4658)|,1,1
121,|(4659,4826)|,168,95
122,|(4827,4827)|,1,1
123,|(4828,4828)|,1,1
124,|(4829,4829)|,1,1
125,|(4830,4830)|,1,1
126,|(4831,4831)|,1,1
127,|(4832,4833)|,2,2
128,|(4834,4834)|,1,1
129,|(4835,4835)|,1,1
130,|(4836,4841)|,6,6
131,|(4842,4842)|,1,1
132,|(4843,4844)|,2,2
133,|(4845,4846)|,2,2
134,|(4847,4847)|,1,1
135,|(4848,4983)|,136,168
136,|(4984,4985)|,2,2
137,|(4986,5121)|,136,145
138,|(5122,5122)|,1,1
139,|(5123,5258)|,136,141
140,|(5259,5259)|,1,1
141,|(5260,5395)|,136,145
142,|(5396,5396)|,1,1
143,|(5397,5532)|,136,149
144,|(5533,5533)|,1,1
145,|(5534,5669)|,136,149
146,|(5670,5671)|,2,2
147,|(5672,5807)|,136,180
148,|(5808,5808)|,1,1
149,|(5809,5944)|,136,157
150,|(5945,5945)|,1,1
151,|(5946,6081)|,136,184
152,|(6082,6082)|,1,1
153,|(6083,6218)|,136,186
154,|(6219,6219)|,1,1
155,|(6220,6355)|,136,186
156,|(6356,6356)|,1,1
157,|(6357,6492)|,136,174
158,|(6493,6493)|,1,1
159,|(6494,6594)|,101,101
160,|(6595,6595)|,1,1
161,|(6596,6596)|,1,1
162,|(6597,6602)|,6,6
163,|(6603,6603)|,1,1
164,|(6604,6662)|,59,59
165,|(6663,6664)|,2,2
166,|(6665,6666)|,2,2
167,|(6667,6667)|,1,1
168,|(6668,6803)|,136,358
169,|(6804,6805)|,2,2
170,|(6806,6941)|,136,268
171,|(6942,6942)|,1,1
172,|(6943,7078)|,136,174
173,|(7079,7079)|,1,1
174,|(7080,7215)|,136,268
175,|(7216,7216)|,1,1
176,|(7217,7352)|,136,279
177,|(7353,7353)|,1,1
178,|(7354,7488)|,135,135
179,|(7489,7490)|,2,2
180,|(7491,7626)|,136,362
181,|(7627,7627)|,1,1
182,|(7628,7763)|,136,268
183,|(7764,7764)|,1,1
184,|(7765,7900)|,136,268
185,|(7901,7901)|,1,1
186,|(7902,8037)|,136,470
187,|(8038,8038)|,1,1
188,|(8039,8174)|,136,470
189,|(8175,8175)|,1,1
190,|(8176,8310)|,135,1100
191,|(8311,8311)|,1,1
192,|(8312,8406)|,95,95
193,|(8407,8408)|,2,2
194,|(8409,8409)|,1,1
